time,bmi,sex,age,geo\isced97	TOTAL 	ED0-2 	ED3_4 	ED5_6 
2008,18P5-25,M,Y35-44,LV	37.2 	40.3 	36.7 	35.9 
2008,18P5-25,M,Y35-44,MT	25.7 	18.8 u	26 	27.9 u
2008,18P5-25,M,Y35-44,PL	30.4 	31.8 	29.3 	34.1 
2008,18P5-25,M,Y35-44,RO	37.5 	46.1 	35.9 	39 
2008,18P5-25,M,Y35-44,SI	29.0 	34.2 u	25.4 	38.0 u
2008,18P5-25,M,Y35-44,SK	32.9 	: 	32.1 	34.5 
2008,18P5-25,M,Y35-44,TR	34.7 	37.5 	32.5 	24.4 
2008,18P5-25,M,Y45-54,AT	31.6 	30.6 	29.6 	35.6 
2008,18P5-25,M,Y45-54,BE	38.7 	39 	36.7 	39.9 
2008,18P5-25,M,Y45-54,BG	31.2 	42.8 	29.6 	24.5 
2008,18P5-25,M,Y45-54,CY	30.6 	34.3 	31.1 	25.7 
2008,18P5-25,M,Y45-54,CZ	26.7 	: 	20.5 	: 
2008,18P5-25,M,Y45-54,DE	33.5 	: c	32.4 	37.8 
2008,18P5-25,M,Y45-54,EE	34.8 	43.9 	33.9 	23.8 u
2008,18P5-25,M,Y45-54,EL	28.4 	32.1 	29 	24.9 
2008,18P5-25,M,Y45-54,ES	28.4 	25.4 	27.2 	34.7 
2008,18P5-25,M,Y45-54,FR	37.9 	32.7 	38.8 	42.5 
2008,18P5-25,M,Y45-54,HU	25.6 	34.5 	24.7 	22.8 
2008,18P5-25,M,Y45-54,LV	33.9 	35.1 	34.5 	32.1 
2008,18P5-25,M,Y45-54,MT	24.9 	22.5 u	25.2 	28.6 u
2008,18P5-25,M,Y45-54,PL	26.4 	36.3 	25.6 	22.8 
2008,18P5-25,M,Y45-54,RO	30.7 	37.6 	30.1 	25.3 
2008,18P5-25,M,Y45-54,SI	20.5 	27.1 u	17.2 	25.1 u
2008,18P5-25,M,Y45-54,SK	29.3 	: 	28.8 	30.9 
2008,18P5-25,M,Y45-54,TR	31.3 	31.6 	29.5 	32.1 
2008,18P5-25,M,Y55-64,AT	29.5 	27.2 	27.4 	34.1 
2008,18P5-25,M,Y55-64,BE	29.4 	25.6 	29.1 	33.5 
2008,18P5-25,M,Y55-64,BG	30.8 	33.9 	30.2 	27.7 
2008,18P5-25,M,Y55-64,CY	23.4 	23.3 	20.8 	28 
2008,18P5-25,M,Y55-64,CZ	18.3 	: 	16 	25.8 u
2008,18P5-25,M,Y55-64,DE	26.4 	: c	24.8 	32.3 
2008,18P5-25,M,Y55-64,EE	35.2 	33.5 	36.3 	31.1 u
2008,18P5-25,M,Y55-64,EL	20 	24.3 	13.9 	18.1 
2008,18P5-25,M,Y55-64,ES	23.9 	21.4 	21.8 	32.1 
2008,18P5-25,M,Y55-64,FR	35.4 	31.1 	33.2 	48.7 
2008,18P5-25,M,Y55-64,HU	29.7 	31.7 	28.2 	33.9 
2008,18P5-25,M,Y55-64,LV	32.8 	35.9 	33.8 	24.1 
2008,18P5-25,M,Y55-64,MT	17.8 	15.8 u	21.2 	14.3 u
2008,18P5-25,M,Y55-64,PL	26.3 	30.9 	24.9 	26.2 
2008,18P5-25,M,Y55-64,RO	31.3 	38.7 	29 	25.5 
2008,18P5-25,M,Y55-64,SI	26.9 	18.6 u	30.4 	23.5 u
2008,18P5-25,M,Y55-64,SK	23.1 	36.7 u	22.2 	21.3 
2008,18P5-25,M,Y55-64,TR	33.5 	33.8 	34 	30.5 
2008,18P5-25,M,Y65-74,AT	27 	23 	27.2 	30.9 
2008,18P5-25,M,Y65-74,BE	36.8 	38.7 	38.9 	26.9 
2008,18P5-25,M,Y65-74,BG	36 	32.1 	42 	34.3 
2008,18P5-25,M,Y65-74,CY	28.1 	29.3 	27.3 	25.2 u
2008,18P5-25,M,Y65-74,CZ	20.4 	: 	15.4 	: 
2008,18P5-25,M,Y65-74,DE	29.4 	: c	27.3 	31 
2008,18P5-25,M,Y65-74,EE	36.8 	38.3 	34.6 	46.2 u
2008,18P5-25,M,Y65-74,EL	21.2 	19.4 	21.4 u	27 
2008,18P5-25,M,Y65-74,ES	24.1 	20.2 	32.1 	35.8 
2008,18P5-25,M,Y65-74,FR	32.9 	31.1 	31.4 	42.2 
2008,18P5-25,M,Y65-74,HU	25.9 	25.9 	25.6 	26.5 u
2008,18P5-25,M,Y65-74,LV	28.2 	28.2 	28.1 	28.1 u
2008,18P5-25,M,Y65-74,MT	20.7 u	17.1 u	29.3 u	16.7 u
2008,18P5-25,M,Y65-74,PL	24.8 	25.7 	23.3 	28.6 
2008,18P5-25,M,Y65-74,RO	34.7 	38.9 	30.2 	32.7 
2008,18P5-25,M,Y65-74,SI	23.2 	32.3 u	19.0 	: 
2008,18P5-25,M,Y65-74,SK	28.4 	26 u	25.9 	39.4 u
2008,18P5-25,M,Y65-74,TR	31.5 	31.3 	24.1 u	40.3 u
2008,18P5-25,M,Y75-84,AT	37.4 	34.3 	42.5 	32.2 
2008,18P5-25,M,Y75-84,BE	38.5 	37.4 	40.7 	41.1 
2008,18P5-25,M,Y75-84,BG	45.7 	47.3 	46 u	39.4 u
2008,18P5-25,M,Y75-84,CY	40 	38.3 	45 u	: 
2008,18P5-25,M,Y75-84,CZ	26.6 	: 	28.9 u	: 
2008,18P5-25,M,Y75-84,DE	32.5 	: c	: c	35.1 
2008,18P5-25,M,Y75-84,EE	42.8 	43.2 	41.6 	45.5 u
2008,18P5-25,M,Y75-84,EL	34.1 	34.8 	31.9 u	31.9 u
2008,18P5-25,M,Y75-84,ES	29.2 	27.4 	38 u	37.4 
2008,18P5-25,M,Y75-84,FR	38.2 	35 	37.4 	58.3 
2008,18P5-25,M,Y75-84,HU	28.7 	32.6 u	24 	31.3 u
2008,18P5-25,M,Y75-84,LV	31.4 	37.8 	26.7 u	: 
2008,18P5-25,M,Y75-84,MT	29.9 u	28.2 u	40 u	: 
2008,18P5-25,M,Y75-84,PL	32.2 	31.2 	26.3 	48.5 
2008,18P5-25,M,Y75-84,RO	43.2 	43.3 	43.8 	40.6 u
2008,18P5-25,M,Y75-84,SI	30.6 	: 	33.9 u	: 
2008,18P5-25,M,Y75-84,SK	34.1 	28.3 u	37.2 u	: 
2008,18P5-25,M,Y75-84,TR	43.9 u	44.6 u	: 	: 
